Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds,driver_median_lap,abs_delta_from_median
VER,Red Bull Racing,19.0,0 days 00:01:35.283000,0 days 00:00:30.628000,0 days 00:00:41.162000,0 days 00:00:23.493000,HARD,2.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.283,30.628,41.162,23.493,95.59049999999999,0.30749999999999034
VER,Red Bull Racing,20.0,0 days 00:01:35.160000,0 days 00:00:30.585000,0 days 00:00:41.100000,0 days 00:00:23.475000,HARD,3.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.16,30.585,41.1,23.475,95.59049999999999,0.430499999999995
VER,Red Bull Racing,21.0,0 days 00:01:35.316000,0 days 00:00:30.576000,0 days 00:00:41.240000,0 days 00:00:23.500000,HARD,4.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.316,30.576,41.24,23.5,95.59049999999999,0.2744999999999891
VER,Red Bull Racing,22.0,0 days 00:01:35.204000,0 days 00:00:30.560000,0 days 00:00:41.142000,0 days 00:00:23.502000,HARD,5.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.204,30.56,41.142,23.502,95.59049999999999,0.38649999999999807
VER,Red Bull Racing,23.0,0 days 00:01:35.216000,0 days 00:00:30.553000,0 days 00:00:41.145000,0 days 00:00:23.518000,HARD,6.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.216,30.553,41.145,23.518,95.59049999999999,0.3744999999999976
VER,Red Bull Racing,24.0,0 days 00:01:35.289000,0 days 00:00:30.548000,0 days 00:00:41.257000,0 days 00:00:23.484000,HARD,7.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.289,30.548,41.257,23.484,95.59049999999999,0.3014999999999901
VER,Red Bull Racing,25.0,0 days 00:01:35.342000,0 days 00:00:30.518000,0 days 00:00:41.282000,0 days 00:00:23.542000,HARD,8.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.342,30.518,41.282,23.542,95.59049999999999,0.24849999999999284
VER,Red Bull Racing,26.0,0 days 00:01:35.223000,0 days 00:00:30.522000,0 days 00:00:41.140000,0 days 00:00:23.561000,HARD,9.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.223,30.522,41.14,23.561,95.59049999999999,0.3674999999999926
VER,Red Bull Racing,27.0,0 days 00:01:35.581000,0 days 00:00:30.649000,0 days 00:00:41.338000,0 days 00:00:23.594000,HARD,10.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.581,30.649,41.338,23.594,95.59049999999999,0.009499999999988518
VER,Red Bull Racing,28.0,0 days 00:01:35.477000,0 days 00:00:30.588000,0 days 00:00:41.272000,0 days 00:00:23.617000,HARD,11.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.477,30.588,41.272,23.617,95.59049999999999,0.11349999999998772
VER,Red Bull Racing,29.0,0 days 00:01:35.793000,0 days 00:00:30.679000,0 days 00:00:41.485000,0 days 00:00:23.629000,HARD,12.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.793,30.679,41.485,23.629,95.59049999999999,0.20250000000001478
VER,Red Bull Racing,30.0,0 days 00:01:35.771000,0 days 00:00:30.657000,0 days 00:00:41.470000,0 days 00:00:23.644000,HARD,13.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.771,30.657,41.47,23.644,95.59049999999999,0.1805000000000092
VER,Red Bull Racing,31.0,0 days 00:01:35.679000,0 days 00:00:30.635000,0 days 00:00:41.435000,0 days 00:00:23.609000,HARD,14.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.679,30.635,41.435,23.609,95.59049999999999,0.08850000000001046
VER,Red Bull Racing,32.0,0 days 00:01:35.886000,0 days 00:00:30.669000,0 days 00:00:41.519000,0 days 00:00:23.698000,HARD,15.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.886,30.669,41.519,23.698,95.59049999999999,0.2955000000000041
VER,Red Bull Racing,33.0,0 days 00:01:35.863000,0 days 00:00:30.690000,0 days 00:00:41.459000,0 days 00:00:23.714000,HARD,16.0,2.0,,,1,1.0,False,2024,Bahrain,R,95.863,30.69,41.459,23.714,95.59049999999999,0.27250000000000796
VER,Red Bull Racing,34.0,0 days 00:01:36.133000,0 days 00:00:30.685000,0 days 00:00:41.661000,0 days 00:00:23.787000,HARD,17.0,2.0,,,1,1.0,False,2024,Bahrain,R,96.133,30.685,41.661,23.787,95.59049999999999,0.542500000000004
VER,Red Bull Racing,35.0,0 days 00:01:36.018000,0 days 00:00:30.727000,0 days 00:00:41.557000,0 days 00:00:23.734000,HARD,18.0,2.0,,,1,1.0,False,2024,Bahrain,R,96.018,30.727,41.557,23.734,95.59049999999999,0.4275000000000091
VER,Red Bull Racing,36.0,0 days 00:01:36.205000,0 days 00:00:30.794000,0 days 00:00:41.561000,0 days 00:00:23.850000,HARD,19.0,2.0,,,1,1.0,False,2024,Bahrain,R,96.205,30.794,41.561,23.85,95.59049999999999,0.6145000000000067
VER,Red Bull Racing,39.0,0 days 00:01:32.608000,0 days 00:00:29.741000,0 days 00:00:39.916000,0 days 00:00:22.951000,SOFT,2.0,3.0,,,1,1.0,False,2024,Bahrain,R,92.608,29.741,39.916,22.951,95.59049999999999,2.9824999999999875
VER,Red Bull Racing,40.0,0 days 00:01:36.589000,0 days 00:00:31.014000,0 days 00:00:42.023000,0 days 00:00:23.552000,SOFT,3.0,3.0,,,1,1.0,False,2024,Bahrain,R,96.589,31.014,42.023,23.552,95.59049999999999,0.998500000000007
VER,Red Bull Racing,41.0,0 days 00:01:35.290000,0 days 00:00:30.697000,0 days 00:00:41.281000,0 days 00:00:23.312000,SOFT,4.0,3.0,,,1,1.0,False,2024,Bahrain,R,95.29,30.697,41.281,23.312,95.59049999999999,0.30049999999998533
VER,Red Bull Racing,42.0,0 days 00:01:34.667000,0 days 00:00:30.477000,0 days 00:00:40.996000,0 days 00:00:23.194000,SOFT,5.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.667,30.477,40.996,23.194,95.59049999999999,0.92349999999999
VER,Red Bull Racing,43.0,0 days 00:01:34.151000,0 days 00:00:30.132000,0 days 00:00:40.772000,0 days 00:00:23.247000,SOFT,6.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.151,30.132,40.772,23.247,95.59049999999999,1.4394999999999953
VER,Red Bull Racing,44.0,0 days 00:01:34.531000,0 days 00:00:30.348000,0 days 00:00:40.805000,0 days 00:00:23.378000,SOFT,7.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.531,30.348,40.805,23.378,95.59049999999999,1.0594999999999857
VER,Red Bull Racing,45.0,0 days 00:01:34.249000,0 days 00:00:30.180000,0 days 00:00:40.825000,0 days 00:00:23.244000,SOFT,8.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.249,30.18,40.825,23.244,95.59049999999999,1.3414999999999964
VER,Red Bull Racing,47.0,0 days 00:01:34.239000,0 days 00:00:30.267000,0 days 00:00:40.704000,0 days 00:00:23.268000,SOFT,10.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.239,30.267,40.704,23.268,95.59049999999999,1.3514999999999873
VER,Red Bull Racing,48.0,0 days 00:01:34.350000,0 days 00:00:30.245000,0 days 00:00:40.738000,0 days 00:00:23.367000,SOFT,11.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.35,30.245,40.738,23.367,95.59049999999999,1.2404999999999973
VER,Red Bull Racing,49.0,0 days 00:01:34.403000,0 days 00:00:30.246000,0 days 00:00:40.804000,0 days 00:00:23.353000,SOFT,12.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.403,30.246,40.804,23.353,95.59049999999999,1.1874999999999858
VER,Red Bull Racing,50.0,0 days 00:01:34.783000,0 days 00:00:30.229000,0 days 00:00:40.928000,0 days 00:00:23.626000,SOFT,13.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.783,30.229,40.928,23.626,95.59049999999999,0.8074999999999903
VER,Red Bull Racing,51.0,0 days 00:01:34.340000,0 days 00:00:30.003000,0 days 00:00:40.834000,0 days 00:00:23.503000,SOFT,14.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.34,30.003,40.834,23.503,95.59049999999999,1.2504999999999882
VER,Red Bull Racing,52.0,0 days 00:01:34.906000,0 days 00:00:30.333000,0 days 00:00:40.919000,0 days 00:00:23.654000,SOFT,15.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.906,30.333,40.919,23.654,95.59049999999999,0.6844999999999857
VER,Red Bull Racing,53.0,0 days 00:01:35.600000,0 days 00:00:30.528000,0 days 00:00:41.382000,0 days 00:00:23.690000,SOFT,16.0,3.0,,,1,1.0,False,2024,Bahrain,R,95.6,30.528,41.382,23.69,95.59049999999999,0.009500000000002728
VER,Red Bull Racing,54.0,0 days 00:01:35.334000,0 days 00:00:30.427000,0 days 00:00:41.227000,0 days 00:00:23.680000,SOFT,17.0,3.0,,,1,1.0,False,2024,Bahrain,R,95.334,30.427,41.227,23.68,95.59049999999999,0.2564999999999884
VER,Red Bull Racing,55.0,0 days 00:01:35.184000,0 days 00:00:30.493000,0 days 00:00:41.220000,0 days 00:00:23.471000,SOFT,18.0,3.0,,,1,1.0,False,2024,Bahrain,R,95.184,30.493,41.22,23.471,95.59049999999999,0.4064999999999941
VER,Red Bull Racing,56.0,0 days 00:01:34.671000,0 days 00:00:30.256000,0 days 00:00:40.870000,0 days 00:00:23.545000,SOFT,19.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.671,30.256,40.87,23.545,95.59049999999999,0.9194999999999851
VER,Red Bull Racing,57.0,0 days 00:01:34.923000,0 days 00:00:30.384000,0 days 00:00:40.910000,0 days 00:00:23.629000,SOFT,20.0,3.0,,,1,1.0,False,2024,Bahrain,R,94.923,30.384,40.91,23.629,95.59049999999999,0.6674999999999898
PER,Red Bull Racing,1.0,0 days 00:01:40.053000,,0 days 00:00:42.610000,0 days 00:00:23.856000,SOFT,4.0,1.0,,,12,4.0,False,2024,Bahrain,R,100.053,,42.61,23.856,96.226,3.826999999999998
PER,Red Bull Racing,2.0,0 days 00:01:36.541000,0 days 00:00:30.678000,0 days 00:00:41.867000,0 days 00:00:23.996000,SOFT,5.0,1.0,,,1,4.0,False,2024,Bahrain,R,96.541,30.678,41.867,23.996,96.226,0.3149999999999977
PER,Red Bull Racing,3.0,0 days 00:01:37.297000,0 days 00:00:30.596000,0 days 00:00:42.478000,0 days 00:00:24.223000,SOFT,6.0,1.0,,,1,4.0,False,2024,Bahrain,R,97.297,30.596,42.478,24.223,96.226,1.070999999999998
PER,Red Bull Racing,4.0,0 days 00:01:37.722000,0 days 00:00:30.716000,0 days 00:00:42.623000,0 days 00:00:24.383000,SOFT,7.0,1.0,,,1,4.0,False,2024,Bahrain,R,97.722,30.716,42.623,24.383,96.226,1.4959999999999951
PER,Red Bull Racing,5.0,0 days 00:01:38.044000,0 days 00:00:30.997000,0 days 00:00:42.754000,0 days 00:00:24.293000,SOFT,8.0,1.0,,,1,4.0,False,2024,Bahrain,R,98.044,30.997,42.754,24.293,96.226,1.8179999999999978
PER,Red Bull Racing,6.0,0 days 00:01:37.823000,0 days 00:00:30.843000,0 days 00:00:42.702000,0 days 00:00:24.278000,SOFT,9.0,1.0,,,1,4.0,False,2024,Bahrain,R,97.823,30.843,42.702,24.278,96.226,1.5969999999999942
PER,Red Bull Racing,7.0,0 days 00:01:37.821000,0 days 00:00:31.013000,0 days 00:00:42.682000,0 days 00:00:24.126000,SOFT,10.0,1.0,,,1,3.0,False,2024,Bahrain,R,97.821,31.013,42.682,24.126,96.226,1.5949999999999989
PER,Red Bull Racing,8.0,0 days 00:01:37.838000,0 days 00:00:31.305000,0 days 00:00:42.428000,0 days 00:00:24.105000,SOFT,11.0,1.0,,,1,3.0,False,2024,Bahrain,R,97.838,31.305,42.428,24.105,96.226,1.6119999999999948
PER,Red Bull Racing,9.0,0 days 00:01:37.596000,0 days 00:00:31.145000,0 days 00:00:42.395000,0 days 00:00:24.056000,SOFT,12.0,1.0,,,1,3.0,False,2024,Bahrain,R,97.596,31.145,42.395,24.056,96.226,1.3700000000000045
PER,Red Bull Racing,10.0,0 days 00:01:37.630000,0 days 00:00:31.178000,0 days 00:00:42.322000,0 days 00:00:24.130000,SOFT,13.0,1.0,,,12,3.0,False,2024,Bahrain,R,97.63,31.178,42.322,24.13,96.226,1.4039999999999964
PER,Red Bull Racing,11.0,0 days 00:01:37.836000,0 days 00:00:31.054000,0 days 00:00:42.473000,0 days 00:00:24.309000,SOFT,14.0,1.0,,,1,2.0,False,2024,Bahrain,R,97.836,31.054,42.473,24.309,96.226,1.6099999999999994
PER,Red Bull Racing,14.0,0 days 00:01:35.606000,0 days 00:00:30.063000,0 days 00:00:41.855000,0 days 00:00:23.688000,HARD,2.0,2.0,,,1,6.0,False,2024,Bahrain,R,95.606,30.063,41.855,23.688,96.226,0.6200000000000045
PER,Red Bull Racing,15.0,0 days 00:01:36.815000,0 days 00:00:30.785000,0 days 00:00:41.795000,0 days 00:00:24.235000,HARD,3.0,2.0,,,1,3.0,False,2024,Bahrain,R,96.815,30.785,41.795,24.235,96.226,0.5889999999999986
PER,Red Bull Racing,16.0,0 days 00:01:35.783000,0 days 00:00:30.569000,0 days 00:00:41.558000,0 days 00:00:23.656000,HARD,4.0,2.0,,,1,2.0,False,2024,Bahrain,R,95.783,30.569,41.558,23.656,96.226,0.44299999999999784
PER,Red Bull Racing,17.0,0 days 00:01:36.454000,0 days 00:00:30.922000,0 days 00:00:41.823000,0 days 00:00:23.709000,HARD,5.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.454,30.922,41.823,23.709,96.226,0.22799999999999443
PER,Red Bull Racing,18.0,0 days 00:01:36.311000,0 days 00:00:30.803000,0 days 00:00:41.835000,0 days 00:00:23.673000,HARD,6.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.311,30.803,41.835,23.673,96.226,0.08500000000000796
PER,Red Bull Racing,19.0,0 days 00:01:36.038000,0 days 00:00:30.702000,0 days 00:00:41.633000,0 days 00:00:23.703000,HARD,7.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.038,30.702,41.633,23.703,96.226,0.1880000000000024
PER,Red Bull Racing,20.0,0 days 00:01:36.278000,0 days 00:00:30.918000,0 days 00:00:41.686000,0 days 00:00:23.674000,HARD,8.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.278,30.918,41.686,23.674,96.226,0.05200000000000671
PER,Red Bull Racing,21.0,0 days 00:01:36.165000,0 days 00:00:30.849000,0 days 00:00:41.610000,0 days 00:00:23.706000,HARD,9.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.165,30.849,41.61,23.706,96.226,0.06099999999999284
PER,Red Bull Racing,22.0,0 days 00:01:36.037000,0 days 00:00:30.824000,0 days 00:00:41.536000,0 days 00:00:23.677000,HARD,10.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.037,30.824,41.536,23.677,96.226,0.18899999999999295
PER,Red Bull Racing,23.0,0 days 00:01:36.249000,0 days 00:00:30.840000,0 days 00:00:41.729000,0 days 00:00:23.680000,HARD,11.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.249,30.84,41.729,23.68,96.226,0.022999999999996135
PER,Red Bull Racing,24.0,0 days 00:01:36.211000,0 days 00:00:30.792000,0 days 00:00:41.687000,0 days 00:00:23.732000,HARD,12.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.211,30.792,41.687,23.732,96.226,0.015000000000000568
PER,Red Bull Racing,25.0,0 days 00:01:36.344000,0 days 00:00:30.878000,0 days 00:00:41.719000,0 days 00:00:23.747000,HARD,13.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.344,30.878,41.719,23.747,96.226,0.117999999999995
PER,Red Bull Racing,26.0,0 days 00:01:36.347000,0 days 00:00:30.938000,0 days 00:00:41.666000,0 days 00:00:23.743000,HARD,14.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.347,30.938,41.666,23.743,96.226,0.12099999999999511
PER,Red Bull Racing,27.0,0 days 00:01:36.233000,0 days 00:00:30.853000,0 days 00:00:41.543000,0 days 00:00:23.837000,HARD,15.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.233,30.853,41.543,23.837,96.226,0.007000000000005002
PER,Red Bull Racing,28.0,0 days 00:01:36.226000,0 days 00:00:30.929000,0 days 00:00:41.588000,0 days 00:00:23.709000,HARD,16.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.226,30.929,41.588,23.709,96.226,0.0
PER,Red Bull Racing,29.0,0 days 00:01:36.437000,0 days 00:00:30.926000,0 days 00:00:41.749000,0 days 00:00:23.762000,HARD,17.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.437,30.926,41.749,23.762,96.226,0.21099999999999852
PER,Red Bull Racing,30.0,0 days 00:01:36.313000,0 days 00:00:30.916000,0 days 00:00:41.643000,0 days 00:00:23.754000,HARD,18.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.313,30.916,41.643,23.754,96.226,0.0870000000000033
PER,Red Bull Racing,31.0,0 days 00:01:36.339000,0 days 00:00:30.843000,0 days 00:00:41.752000,0 days 00:00:23.744000,HARD,19.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.339,30.843,41.752,23.744,96.226,0.11299999999999955
PER,Red Bull Racing,32.0,0 days 00:01:36.276000,0 days 00:00:30.856000,0 days 00:00:41.671000,0 days 00:00:23.749000,HARD,20.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.276,30.856,41.671,23.749,96.226,0.04999999999999716
PER,Red Bull Racing,33.0,0 days 00:01:36.564000,0 days 00:00:30.907000,0 days 00:00:41.752000,0 days 00:00:23.905000,HARD,21.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.564,30.907,41.752,23.905,96.226,0.33799999999999386
PER,Red Bull Racing,34.0,0 days 00:01:36.378000,0 days 00:00:30.840000,0 days 00:00:41.734000,0 days 00:00:23.804000,HARD,22.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.378,30.84,41.734,23.804,96.226,0.15200000000000102
PER,Red Bull Racing,35.0,0 days 00:01:36.776000,0 days 00:00:30.938000,0 days 00:00:41.910000,0 days 00:00:23.928000,HARD,23.0,2.0,,,1,2.0,False,2024,Bahrain,R,96.776,30.938,41.91,23.928,96.226,0.5499999999999972
PER,Red Bull Racing,38.0,0 days 00:01:34.804000,0 days 00:00:30.581000,0 days 00:00:40.931000,0 days 00:00:23.292000,SOFT,2.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.804,30.581,40.931,23.292,96.226,1.421999999999997
PER,Red Bull Racing,39.0,0 days 00:01:34.607000,0 days 00:00:30.563000,0 days 00:00:40.893000,0 days 00:00:23.151000,SOFT,3.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.607,30.563,40.893,23.151,96.226,1.6189999999999998
PER,Red Bull Racing,40.0,0 days 00:01:34.364000,0 days 00:00:30.400000,0 days 00:00:40.772000,0 days 00:00:23.192000,SOFT,4.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.364,30.4,40.772,23.192,96.226,1.8619999999999948
PER,Red Bull Racing,41.0,0 days 00:01:34.400000,0 days 00:00:30.351000,0 days 00:00:40.884000,0 days 00:00:23.165000,SOFT,5.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.4,30.351,40.884,23.165,96.226,1.8259999999999934
PER,Red Bull Racing,42.0,0 days 00:01:34.525000,0 days 00:00:30.299000,0 days 00:00:40.985000,0 days 00:00:23.241000,SOFT,6.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.525,30.299,40.985,23.241,96.226,1.7009999999999934
PER,Red Bull Racing,43.0,0 days 00:01:34.797000,0 days 00:00:30.403000,0 days 00:00:41.148000,0 days 00:00:23.246000,SOFT,7.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.797,30.403,41.148,23.246,96.226,1.429000000000002
PER,Red Bull Racing,44.0,0 days 00:01:34.799000,0 days 00:00:30.389000,0 days 00:00:41.028000,0 days 00:00:23.382000,SOFT,8.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.799,30.389,41.028,23.382,96.226,1.4269999999999925
PER,Red Bull Racing,45.0,0 days 00:01:34.592000,0 days 00:00:30.338000,0 days 00:00:40.986000,0 days 00:00:23.268000,SOFT,9.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.592,30.338,40.986,23.268,96.226,1.6340000000000003
PER,Red Bull Racing,46.0,0 days 00:01:34.844000,0 days 00:00:30.410000,0 days 00:00:41.109000,0 days 00:00:23.325000,SOFT,10.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.844,30.41,41.109,23.325,96.226,1.382000000000005
PER,Red Bull Racing,47.0,0 days 00:01:34.730000,0 days 00:00:30.281000,0 days 00:00:41.074000,0 days 00:00:23.375000,SOFT,11.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.73,30.281,41.074,23.375,96.226,1.4959999999999951
PER,Red Bull Racing,48.0,0 days 00:01:34.885000,0 days 00:00:30.358000,0 days 00:00:41.147000,0 days 00:00:23.380000,SOFT,12.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.885,30.358,41.147,23.38,96.226,1.340999999999994
PER,Red Bull Racing,49.0,0 days 00:01:34.966000,0 days 00:00:30.400000,0 days 00:00:41.133000,0 days 00:00:23.433000,SOFT,13.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.966,30.4,41.133,23.433,96.226,1.2600000000000051
PER,Red Bull Racing,50.0,0 days 00:01:35.082000,0 days 00:00:30.366000,0 days 00:00:41.337000,0 days 00:00:23.379000,SOFT,14.0,3.0,,,1,2.0,False,2024,Bahrain,R,95.082,30.366,41.337,23.379,96.226,1.1440000000000055
PER,Red Bull Racing,51.0,0 days 00:01:34.940000,0 days 00:00:30.360000,0 days 00:00:41.144000,0 days 00:00:23.436000,SOFT,15.0,3.0,,,1,2.0,False,2024,Bahrain,R,94.94,30.36,41.144,23.436,96.226,1.2860000000000014
PER,Red Bull Racing,52.0,0 days 00:01:35.183000,0 days 00:00:30.577000,0 days 00:00:41.129000,0 days 00:00:23.477000,SOFT,16.0,3.0,,,1,2.0,False,2024,Bahrain,R,95.183,30.577,41.129,23.477,96.226,1.0429999999999922
PER,Red Bull Racing,53.0,0 days 00:01:35.842000,0 days 00:00:30.638000,0 days 00:00:41.522000,0 days 00:00:23.682000,SOFT,17.0,3.0,,,1,2.0,False,2024,Bahrain,R,95.842,30.638,41.522,23.682,96.226,0.38400000000000034
PER,Red Bull Racing,54.0,0 days 00:01:35.459000,0 days 00:00:30.578000,0 days 00:00:41.382000,0 days 00:00:23.499000,SOFT,18.0,3.0,,,1,2.0,False,2024,Bahrain,R,95.459,30.578,41.382,23.499,96.226,0.7669999999999959
PER,Red Bull Racing,55.0,0 days 00:01:35.611000,0 days 00:00:30.683000,0 days 00:00:41.420000,0 days 00:00:23.508000,SOFT,19.0,3.0,,,1,2.0,False,2024,Bahrain,R,95.611,30.683,41.42,23.508,96.226,0.6149999999999949
